LastName,FirstName,Class,Birthdate
Müller,Lena,10A,2008-03-14
Schmidt,Jonas,10A,2008-06-22
Schneider,Emma,10B,2008-11-09
Fischer,Noah,11A,2007-04-03
Weber,Lea,11A,2007-08-30
Meyer,Elias,11B,2007-02-17
Wagner,Mia,10B,2008-09-25
Becker,Luca,10A,2008-01-18
Hoffmann,Sophie,10B,2008-12-06
Schäfer,Paul,11B,2007-10-02
Koch,Hannah,11A,2007-05-11
Richter,Ben,10A,2008-04-07
Bauer,Marie,10B,2008-07-19
Klein,Leon,11A,2007-09-21
Wolf,Lina,11B,2007-12-14
Schröder,Finn,10A,2008-02-26
Neumann,Clara,10B,2008-05-05
Braun,Julian,11A,2007-01-29
Werner,Nina,11B,2007-07-02
Schwarz,Mats,10A,2008-10-15
Zimmermann,Laura,10B,2008-08-23
Hartmann,Max,11A,2007-03-06
Krüger,Ida,10A,2008-06-10
Lange,Tom,11B,2007-11-28
Schmitt,Mila,11A,2007-09-03
Graf,Philipp,10A,2008-04-27
Keller,Sofia,11B,2007-05-22
Kaiser,David,11A,2007-02-11
Vogel,Johanna,10B,2008-12-19
Franke,Samuel,10A,2008-09-08
Haas,Emily,8A,2010-03-15
Arnold,Niklas,8A,2010-06-01
Jung,Sophia,8B,2010-10-22
Otto,Felix,9A,2009-01-19
Kuhn,Lilly,9A,2009-08-30
Busch,Moritz,9B,2009-02-12
Pfeiffer,Amelie,8B,2010-05-28
Voigt,Tim,8A,2010-11-09
Fritz,Isabell,8B,2010-09-25
Roth,Lukas,9B,2009-07-06
Seidel,Hannah,9A,2009-03-15
Simon,Jana,8A,2010-12-20
Engel,Mika,8B,2010-02-03
Huber,Laura,9A,2009-09-18
Brandt,Leon,9B,2009-05-10
Schuster,Eva,8A,2010-01-08
Dietrich,Noah,8B,2010-07-24
Graf,Nina,9A,2009-11-30
Hein,Paul,9B,2009-06-02
Wolff,Clara,8A,2010-04-11
König,Tom,8B,2010-10-05
Berger,Mia,9A,2009-02-26
Hahn,Jonas,9B,2009-12-08
Beck,Anna,8A,2010-05-17
Vogt,Finn,8B,2010-09-02
Lorenz,Sarah,9A,2009-03-21
Mohr,Elias,9B,2009-07-28
Herrmann,Lisa,8A,2010-01-30
Krause,David,9B,2009-10-14
Fuchs,Lara,9A,2009-04-09
